FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate,3yearsPopulationChange
51000,VA,Virginia,2021,8685717,100342.0357,72213.54762,38024.19048,-34431.71429,4348996,1.558333333,168032
53000,WA,Washington,2019,7561092,91442.25,58358.42857,35132.14286,69296.96429,3797037.321,3.314285714,
53000,WA,Washington,2020,7652162,92103.25,59547.44048,36953.53571,76552.5119,3846539.81,2.645238095,
53000,WA,Washington,2021,7743231,92764.25,60736.45238,38774.92857,83808.05952,3896042.298,1.976190476,207640
54000,WV,West Virginia,2019,1620579,18077.67857,22856.07143,300.75,-11846.67857,771906.8929,4.764285714,
54000,WV,West Virginia,2020,1604149,17686.60714,22997.97619,161.75,-13470.44048,767607.4524,4.370238095,
54000,WV,West Virginia,2021,1587719,17295.53571,23139.88095,22.75,-15094.20238,763308.0119,3.976190476,-218113
55000,WI,Wisconsin,2019,5980489,65144.64286,51616.03571,9185,-4541.357143,3146555.821,1.957142857,
55000,WI,Wisconsin,2020,5983843,64788.28571,51996.90476,9620.75,-3683.047619,3156740.893,1.230952381,
55000,WI,Wisconsin,2021,5987198,64431.92857,52377.77381,10056.5,-2824.738095,3166925.964,0.504761905,173630
56000,WY,Wyoming,2019,502445,7139.607143,4944.392857,760.3571429,-7640.428571,290450.6786,3.9,
56000,WY,Wyoming,2020,497716,7073.380952,5010.285714,849.3809524,-8997.190476,287931.6071,3.716666667,
56000,WY,Wyoming,2021,492987,7007.154762,5076.178571,938.4047619,-10353.95238,285412.5357,3.533333333,-84750
