,FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate
121,45000,SC,South Carolina,2020,4814810,56676.40476190476,52302.33333333302,6738.476190476213,67158.08333333209,2374599.3333333284,1.1273809523809177
122,45000,SC,South Carolina,2021,4846204,56577.02380952382,53487.41666666651,6966.630952380947,72316.41666666605,2398093.416666664,0.13690476190481604
123,46000,SD,South Dakota,2019,854529,12241.178571428572,7514.178571428565,3929.3571428571595,267.53571428579744,461253.0714285709,2.4857142857142662
124,46000,SD,South Dakota,2020,858023,12272.607142857145,7534.523809523809,4340.547619047575,-1.6785714285215363,463993.6428571427,2.2464285714285666
125,46000,SD,South Dakota,2021,861518,12304.035714285717,7554.869047619046,4751.738095238106,-270.8928571428405,466734.21428571455,2.007142857142867
126,47000,TN,Tennessee,2019,6647025,80836.5,69501.82142857183,8922.785714285725,43432.71428571455,3198586.2142857164,2.4142857142855974
127,47000,TN,Tennessee,2020,6677347,80953.58333333331,70633.72619047621,8967.321428571435,47069.26190476213,3216520.095238097,1.5952380952380736
128,47000,TN,Tennessee,2021,6707669,81070.66666666666,71765.63095238106,9011.857142857145,50705.8095238097,3234453.9761904776,0.7761904761903224
129,48000,TX,Texas,2019,29325694,402370.5357142864,205256.5,121861.0,97568.0714285709,13950717.285714269,2.9714285714285325
130,48000,TX,Texas,2020,29703110,404883.3214285718,210028.3333333321,126780.83333333209,91710.97619047575,14135531.238095224,2.434523809523853
131,48000,TX,Texas,2021,30080527,407396.1071428573,214800.16666666605,131700.66666666605,85853.8809523806,14320345.19047618,1.8976190476191732
132,49000,UT,Utah,2019,3231286,49993.5,18109.78571428568,9695.178571428405,22292.357142857276,1603481.6428571418,2.1214285714286234
133,49000,UT,Utah,2020,3269850,49793.91666666663,18455.988095238106,10583.107142857043,25409.96428571455,1636383.0357142836,1.6511904761904361
134,49000,UT,Utah,2021,3308415,49594.333333333314,18802.190476190415,11471.035714285681,28527.571428571828,1669284.4285714254,1.1809523809523625
