FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate
11000,DC,District of Columbia,2017,695691,9780,5452,3616,1146,401450,6.1
12000,FL,Florida,2017,20976812,224012,203723,162228,163595,10093451,4.2
13000,GA,Georgia,2017,10413055,129047,82779,21625,40388,5058960,4.7
15000,HI,Hawaii,2017,1424203,17817,12275,4721,-14153,683618,2.4
16000,ID,Idaho,2017,1718904,22403,12909,1694,24732,834698,3.2
17000,IL,Illinois,2017,12786196,151472,108248,30536,-114689,6489612,4.9
18000,IN,Indiana,2017,6660082,82093,62611,9067,-1639,3336655,3.6
19000,IA,Iowa,2017,3143637,38892,28817,5809,-4010,1678349,3.1
20000,KS,Kansas,2017,2910689,37410,25477,2267,-14741,1478713,3.7
21000,KY,Kentucky,2017,4453874,54793,46577,5923,1627,2053757,4.9
22000,LA,Louisiana,2017,4670818,62145,45145,3064,-27458,2103638,5.1
23000,ME,Maine,2017,1335063,12581,14113,579,4690,698419,3.4
24000,MD,Maryland,2017,6024891,72138,50555,22756,-24011,3193487,4.3
25000,MA,Massachusetts,2017,6863246,70675,58097,49668,-24844,3695994,3.8
26000,MI,Michigan,2017,9976447,112080,95630,21416,-13021,4886086,4.6
27000,MN,Minnesota,2017,5568155,69258,42646,10766,7598,3057015,3.4
28000,MS,Mississippi,2017,2989663,37204,31081,2612,-7367,1280566,5.1
29000,MO,Missouri,2017,6108612,73617,59411,8169,-893,3061441,3.8
30000,MT,Montana,2017,1053090,12182,9641,932,8708,524914,3.9
31000,NE,Nebraska,2017,1917575,26169,15650,4742,-3550,1011626,2.9
32000,NV,Nevada,2017,2972405,36196,24691,3101,37844,1458344,5.1
33000,NH,New Hampshire,2017,1349767,12222,12073,2548,4738,754465,2.7
34000,NJ,New Jersey,2017,8888543,101439,75544,45151,-57040,4453525,4.6
35000,NM,New Mexico,2017,2093395,24088,18269,2330,-7514,936237,5.9
36000,NY,New York,2017,19590719,230364,160681,67949,-188585,9561400,4.7
37000,NC,North Carolina,2017,10270800,120077,91567,20640,64795,4938072,4.5
38000,ND,North Dakota,2017,755176,11182,6054,2659,-6997,410396,2.7
39000,OH,Ohio,2017,11664129,136206,118051,19421,-8133,5770178,5
40000,OK,Oklahoma,2017,3932640,51758,39769,4406,-10472,1836277,4.2
41000,OR,Oregon,2017,4146592,45389,35933,8167,37490,2090656,4.1
42000,PA,Pennsylvania,2017,12790447,137428,133891,31291,-27426,6424626,4.9
44000,RI,Rhode Island,2017,1056486,10768,9816,2410,-3908,553687,4.4
45000,SC,South Carolina,2017,5021219,56668,49134,5706,49600,2306021,4.3
46000,SD,South Dakota,2017,873286,12093,7374,3678,2006,456103,3.2
47000,TN,Tennessee,2017,6708794,80204,67384,9043,41875,3190166,3.8
48000,TX,Texas,2017,28322717,395212,196396,103032,82801,13589208,4.3
49000,UT,Utah,2017,3103118,50317,17187,8973,18359,1548262,3.3
50000,VT,Vermont,2017,624525,5679,5738,1822,-852,346135,3
51000,VA,Virginia,2017,8465207,101529,67237,32541,-12485,4309588,3.7
53000,WA,Washington,2017,7425432,90701,56067,31204,64662,3718900,4.7
54000,WV,West Virginia,2017,1817048,18547,22629,332,-10107,779591,5.2
55000,WI,Wisconsin,2017,5792051,65705,50587,7483,-3318,3140410,3.3
56000,WY,Wyoming,2017,578934,7150,4621,622,-8546,292923,4.2
1000,AL,Alabama,2018,4887871,57216,53425,3344,5718,2198837,3.9
2000,AK,Alaska,2018,737438,10693,4738,2401,-10752,356886,6.6
4000,AZ,Arizona,2018,7171646,83550,58806,14335,83240,3439755,4.8
